[./benchmark_queries/tpcds_all.sql] stmt#25/100 failed after 180.0s: (3024, 'Query execution was interrupted, maximum statement execution time exceeded')
[./benchmark_queries/tpcds_all.sql] stmt#33/100 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[./benchmark_queries/tpcds_all.sql] stmt#44/100 failed after 0.0s: (1060, "Duplicate column name 'cume_sales'")
[./benchmark_queries/tpcds_all.sql] stmt#45/100 failed after 180.0s: (3024, 'Query execution was interrupted, maximum statement execution time exceeded')
[./benchmark_queries/tpcds_all.sql] stmt#46/100 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[./benchmark_queries/tpcds_all.sql] stmt#52/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect\n    select distinct c_last_name, c_first_name, d_date\n    from catalog' at line 7")
[./benchmark_queries/tpcds_all.sql] stmt#61/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect\n      select ca_zip\n      from (SELECT substr(ca_zip,1,5) ca_zip,count' at line 91")
[./benchmark_queries/tpcds_all.sql] stmt#66/100 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[./benchmark_queries/tpcds_all.sql] stmt#67/100 failed after 0.0s: (1248, 'Every derived table must have its own alias')
[./benchmark_queries/tpcds_all.sql] stmt#68/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect \n select ics.i_brand_id\n     ,ics.i_class_id\n     ,ics.i_category_id\n ' at line 13")
[./benchmark_queries/tpcds_all.sql] stmt#69/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'intersect\n select ics.i_brand_id\n     ,ics.i_class_id\n     ,ics.i_category_id\n f' at line 13")
[./benchmark_queries/tpcds_all.sql] stmt#74/100 failed after 0.0s: (1630, "FUNCTION tpcds.sum does not exist. Check the 'Function Name Parsing and Resolution' section in the Reference Manual")
[./benchmark_queries/tpcds_all.sql] stmt#77/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'except\n      (select distinct c_last_name, c_first_name, d_date\n       from cata' at line 7")
[./benchmark_queries/tpcds_all.sql] stmt#81/100 failed after 0.0s: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'int) as segment\n  from   my_revenue\n )\n  select segment, count(*) as num_custome' at line 46")
[./benchmark_queries/tpcds_all.sql] stmt#84/100 failed after 0.0s: (1248, 'Every derived table must have its own alias')
