[./benchmark_queries/tpcds_all.sql] stmt#1 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#2 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#3 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'all_sales AS (\n SELECT d_year\n       ,i_brand_id\n       ,i_class_id\n       ,i_ca' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#4 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(order by rank_col asc) rnk\n           from (select ss_item_sk item_sk,avg(ss_ne' at line 3")
[./benchmark_queries/tpcds_all.sql] stmt#5 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'inv as\n(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy\n       ,stdev,mea' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#6 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'inv as\n(select w_warehouse_name,w_warehouse_sk,i_item_sk,d_moy\n       ,stdev,mea' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#7 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ssr as\n (select  s_store_id as store_id,\n          sum(ss_ext_sales_price) as sa' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#8 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#9 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#10 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#11 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ws as\n  (select d_year AS ws_sold_year, ws_item_sk,\n    ws_bill_customer_sk ws_c' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#12 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(\n \tpartition by grouping(i_category)+grouping(i_class),\n \tcase when grouping(i_' at line 6")
[./benchmark_queries/tpcds_all.sql] stmt#13 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'customer_total_return as\n(select sr_customer_sk as ctr_customer_sk\n,sr_store_sk ' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#14 failed: (1146, "Table 'sbtest.call_center' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#15 failed: (1584, 'Incorrect parameters in the call to stored function `cast`')
[./benchmark_queries/tpcds_all.sql] stmt#16 failed: (1146, "Table 'sbtest.date_dim' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#17 failed: (1221, 'Incorrect usage of CUBE/ROLLUP and ORDER BY')
[./benchmark_queries/tpcds_all.sql] stmt#18 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#19 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#20 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss_items as\n (select i_item_id item_id\n        ,sum(ss_ext_sales_price) ss_item_' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#21 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'cs_ui as\n (select cs_item_sk\n        ,sum(cs_ext_list_price) as sale,sum(cr_refu' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#22 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(\n \tpartition by grouping(i_category)+grouping(i_class),\n \tcase when grouping(i_' at line 6")
[./benchmark_queries/tpcds_all.sql] stmt#23 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'ss as (\n select\n          i_manufact_id,sum(ss_ext_sales_price) total_sales\n fro' at line 1")
[./benchmark_queries/tpcds_all.sql] stmt#24 failed: (1146, "Table 'sbtest.store_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#25 failed: (1146, "Table 'sbtest.web_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#26 failed: (1146, "Table 'sbtest.catalog_sales' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#27 failed: (1146, "Table 'sbtest.customer' doesn't exist")
[./benchmark_queries/tpcds_all.sql] stmt#28 failed: (1064, "You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near '(partition by i_manager_id) avg_monthly_sales\n      from item\n          ,store_s' at line 4")
[./benchmark_queries/tpcds_all.sql] stmt#29 failed: (1146, "Table 'sbtest.customer' doesn't exist")
